id;empresa;classe;codigo;nome;categoria_busca;categoria_label;preco;desconto;data;Descricao;info_envio;link_geral;link_afiliado
8;AZ;ES;AZ8ES;Ventilador De Mesa 40cm Super Power, Mondial, Branco/Azul, 140w, 220v – Vsp-40-W;ventilador;Eletromésticos;148.9;10;;Ventilador De 40cm + 6 Pás: A Linha De Ventiladores Super Power Alia O Design À Potência Para Promover Maior Intensidade Do Vento. É Garantia De Um Ambiente Fresco E Agradável!;MAIS SILÊNCIO E CONFORTO: O sistema de ventilação da Mondial apresenta baixo nível de ruído, assegurando o silêncio necessário para uma excelente noite de sono.;;https://amzn.to/3LLBSBR
9;AZ;ES;AZ9ES;Purificador De Água Gelada Fria E Natural Elétrico Compacto Eletronico Placa Electrolux;filtros de agua;Eletrodomésticos;569.91;8;;3 Opções De Temperatura: Escolha A Temperatura, Natural, Fresca Ou Gelada, Painel Touche: Facilidade Na Seleção De Temperatura E Saída De Água.;;;https://amzn.to/4omtTJf
10;AZ;JS;AZ10JS;Oster Jogo De Panelas E Leiteira Marble Edition Dark Grey – 4 Peças Com Revestimento Cerâmico Antiaderente;panelas;Jogo de Panelas;284.9;22;;Revestimento Cerâmico Antiaderente, Compatível Com Todos Os Fogões, Design Sofisticado E Ergonômico, Tampas De Vidro, Incluí Frigideira E Leiteira;;;https://amzn.to/44jG95N
11;AZ;JS;AZ11JS;Oikos - Jogo Panelas Antiaderente Cerâmico 5 Peças – Cor Bege Mou Pitaya;panelas;Jogo de Panelas;385.67;28;;O Conjunto De Panelas Tem O Revestimento Antiaderente De Alta Qualidade Que Promove Cozimento Rápido E Uniforme!;;;https://amzn.to/4o4w5EO
12;AZ;ES;AZ12ES;WAP Aspirador de Pó Robô ROBOT W90 3 em 1, Automático, 250ml, Sistema Antiqueda e Rodas Emborrachadas, 30W 3,6VDC Bivolt;aspirador de pó;Eletrodomésticos;249.0;37;;Indicado para todos os pisos, Anticolisão, Antiqueda, Baixo nível de ruído, Filtro lavável, Cor Preto;;;https://amzn.to/47YR0TL
13;AZ;ES;AZ13ES;WAP Extratora Portátil Spot Cleaner W3, 3 em 1, Borrifa, Esfrega e Extrai, com Sistema de Autolimpeza, 1450W 127V;aspirador de pó;Eletrodomésticos;599.0;0;;Perfeita para tapetes, estofados, sofás, colchões, carpetes e até bancos de carros, proporcionando uma limpeza versátil.;;;https://amzn.to/4pdhd81
14;AZ;ES;AZ14ES;Fritadeira Airfryer Série 1000 XL, Philips Walita, 6,2 litros, Tecnologia RapidAir, Preta, 2 anos de garantia, 110v - NA130/00;Fritadeira Airfryer;Eletrodomésticos;329.0;13;;Mais rápida, mais econômica e mais silenciosa.;;;https://amzn.to/3MaOeU5
15;AZ;ES;AZ15ES;Fritadeira Airfryer Forno Philips Walita, Série 5000, 2 anos de garantia, 1600W, 110v - AI551/09;Fritadeira Airfryer;Eletrodomésticos;569.05;0;;Capacidade de 12 litros, ideal para preparar refeições para toda a família.;;;https://amzn.to/4idtJlY
16;AZ;US;AZ16US;Stanley - Copo de cerveja isolado, copo empilhável Stay Chill de 473 ml, para bebidas quentes ou frias;Copo;Utensílios;76.0;25;;Bebida sempre gelada, durável e segura para máquina de lavar louças.;;;https://amzn.to/4o9wfLf
17;AZ;US;AZ17US;Stanley - Copo Térmico Everyday, 296ml, para Bebidas Quentes e Frias com Tampa, Aço Inoxidável, Matte Black;Copo;Utensílios;98.05;47;;Para bebidas quentes e frias.;;;https://amzn.to/4o6cXGF
18;AZ;US;AZ18US;Xícara Chá com Pires Orquídeas Alleanza 250 ml 6 un;Jogo de xícaras;Utensílios;99.9;0;;Feita com Cerâmica Feldspática, esta linha é resistente, durável e fácil de limpar. A qualidade da cerâmica garante que suas refeições sejam servidas com estilo e confiança.;;;https://amzn.to/4oQMga6
19;AZ;US;AZ19US;Xícaras de Chá 220 ml, com Pires, 6 Peças, Oxford, Ryo Blue Bay;Jogo de xícaras;Utensílios;133.13;30;;Porcelana, pode ser usada em lava louças e microondas.;;;https://amzn.to/4oYOzru
20;AZ;ES;AZ20ES;Oster CAFETEIRA ESPRESSO OCAF900 DIGITAL, 127V;Cafeteira;Eletrodomésticos;549.91;0;;Prepara café em pó e capsula;;;https://amzn.to/43BzhR2
21;AZ;CO;AZ21CO;Kit Cobre Leito Colcha Boutis 3 Peças Matelado Ultrassônico Estampado Dupla Face Porta Travesseiro Aba Americana Micro Percal 150 Fios (Isabel Areia, Casal);Roupa de cama;Cama, mesa e banho;85.0;0;;Tamanho casal;;;https://amzn.to/4i5BMRL
22;AZ;US;AZ22US;Suporte de Vassoura 2 em 1 Multiuso para Parede Rack de Armazenamento para Garagem Organizador de Ferramentas Jardim 5 Suportes 6 Ganchos;Suporte de vassoura;Utensílios;29.57;39;;Para uma organização eficiente com instalação rápida.;;;https://amzn.to/3LKBJi4
23;AZ;ES;AZ23ES;Aspirador pó vertical com fio portátil de mão 2 em 1 1100W cabo 5m capacidade 1,2L filtro HEPA Electrolux STK12 preto 220v STK;Aspirador de pó;Eletrodomésticos;155.5;13;;Alta Potência para Limpeza Eficiente: Com 1100W de potência, garante excelente poder de sucção para remover sujeiras de pisos, tapetes e superfícies com rapidez e eficiência.;;;https://amzn.to/3LKrV7H
24;AZ;PO;AZ24PO;Kit C/24 Bolas de Natal Lisas/Foscas/Glitter de 6cm - Dourado;Decoração de Natal;Pendentes & Enfeites;59.99;0;;O kit de Bolas de Natal é ideal para decorar a árvore, assim como guirlandas, festões decorativos, arranjos de natal e diversas outras opções devido sua versatilidade!;;;https://amzn.to/3XHCZoF
